evt        et        eta        eta(p)     eta(f)    tanphi(p)     tanphi(f)
500   10.000000   2.500000   2.500000   2.492463   0.160035   0.160035
600   10.000000   2.500000   2.500000   2.502109   1.490091   1.490091
700   10.000000   2.500000   2.500000   2.497484   2.092509   2.092509
800   10.000000   2.500000   2.500000   2.518852   -1.039366   -1.039366
900   10.000000   2.500000   2.500000   2.514930   8.403401   8.403401
0   30.000000   2.500000   2.500000   2.510303   1.787072   1.787072
100   30.000000   2.500000   2.500000   2.490884   0.115800   0.115800
200   30.000000   2.500000   2.500000   2.500228   -29.718358   -29.718358
300   30.000000   2.500000   2.500000   2.513989   -2.021781   -2.021781
400   30.000000   2.500000   2.500000   2.494893   -1.811557   -1.811557
500   30.000000   2.500000   2.500000   2.490531   -10.877900   -10.877900
600   30.000000   2.500000   2.500000   2.509145   -0.783837   -0.783837
700   30.000000   2.500000   2.500000   2.480135   -0.405510   -0.405510
800   30.000000   2.500000   2.500000   2.503558   -2.173903   -2.173903
900   30.000000   2.500000   2.500000   2.516797   -2.242834   -2.242834
0   50.000000   2.500000   2.500000   2.486180   -0.566113   -0.566113
100   50.000000   2.500000   2.500000   2.498517   2.120587   2.120587
200   50.000000   2.500000   2.500000   2.522957   1.048022   1.048022
300   50.000000   2.500000   2.500000   2.517066   -7.403035   -7.403035
400   50.000000   2.500000   2.500000   2.484720   0.386853   0.386853
500   50.000000   2.500000   2.500000   2.492951   -1.500889   -1.500889
600   50.000000   2.500000   2.500000   2.502029   9.607197   9.607197
700   50.000000   2.500000   2.500000   2.505999   0.893262   0.893262
800   50.000000   2.500000   2.500000   2.473929   -1.606853   -1.606853
900   50.000000   2.500000   2.500000   2.529507   -0.778571   -0.778571
0   70.000000   2.500000   2.500000   2.504298   1.389395   1.389395
100   70.000000   2.500000   2.500000   2.490141   4.896734   4.896734
200   70.000000   2.500000   2.500000   2.495652   5.177117   5.177117
300   70.000000   2.500000   2.500000   2.492064   0.194743   0.194743
400   70.000000   2.500000   2.500000   2.496608   -31.879995   -31.879995
500   70.000000   2.500000   2.500000   2.509097   -3.932978   -3.932978
600   70.000000   2.500000   2.500000   2.500855   -1.970260   -1.970260
700   70.000000   2.500000   2.500000   2.494085   0.186175   0.186175
800   70.000000   2.500000   2.500000   2.499468   2.440333   2.440333
900   70.000000   2.500000   2.500000   2.517419   1.049747   1.049747
0   100.000000   2.500000   2.500000   2.492098   0.146303   0.146303
100   100.000000   2.500000   2.500000   2.458186   0.616324   0.616324
200   100.000000   2.500000   2.500000   2.481749   -0.165337   -0.165337
300   100.000000   2.500000   2.500000   2.480804   -4.972507   -4.972507
400   100.000000   2.500000   2.500000   2.509844   -2.770791   -2.770791
500   100.000000   2.500000   2.500000   2.482605   0.183070   0.183070
600   100.000000   2.500000   2.500000   2.479951   1.361511   1.361511
700   100.000000   2.500000   2.500000   2.512839   1.828375   1.828375
800   100.000000   2.500000   2.500000   2.499723   -0.074296   -0.074296
900   100.000000   2.500000   2.500000   2.501816   22.180476   22.180476
